MAL_ID,MAL_SCORE,MAL_TITLE,GENRES,STUDIOS,DIRECTORS,OG_CREATOR,SOURCE,ANIM_DIRECTOR,COMPOSER,AGE_RATING
36649,8.51,b'Banana Fish',"[b'Action', b'Adventure', b'Drama']",[b'MAPPA'],"b'Deai, Kotomi'","b'Shirow, Masamune'",b'Manga',"b'Hisada, Kazuya'","b'Hamaguchi, Shirou'",b'R - 17+ (violence & profanity)'
41025,8.51,b'Fumetsu no Anata e',"[b'Adventure', b'Drama', b'Supernatural']","[b""Brain's Base""]","b'Oomori, Takahiro'",b'ONE',b'Manga',None,"b'Tanaka, Kouhei'",b'R - 17+ (violence & profanity)'
33,8.51,b'Kenpuu Denki Berserk',"[b'Action', b'Adventure', b'Drama', b'Fantasy', b'Horror', b'Supernatural']",[b'OLM'],"b'Oomori, Takahiro'","b'Inoue, Takehiko'",b'Manga',"b'Itou, Nobutake'","b'van Beethoven, Ludwig'",b'R+ - Mild Nudity'
6114,8.51,b'Rainbow: Nisha Rokubou no Shichinin',"[b'Drama', b'Suspense']",[b'Madhouse'],"b'Kanbe, Mamoru'","b'Matsui, Yuusei'",b'Manga',None,"b'Shibue, Kana'",b'R - 17+ (violence & profanity)'
16498,8.51,b'Shingeki no Kyojin',"[b'Action', b'Drama', b'Fantasy', b'Mystery']",[b'Wit Studio'],"b'Aoki, Ei'","b'Amano, Kozue'",b'Manga',"b'Takada, Akira'","b'Oshima, Michiru'",b'R - 17+ (violence & profanity)'
30484,8.51,b'Steins;Gate 0',"[b'Drama', b'Sci-Fi', b'Suspense']",[b'White Fox'],"b'Ibata, Yoshihide'","b'Yoshida, Akimi'",b'Visual novel',"b'Yamada, Tatsuo'","b'Yoshimori, Makoto'",b'PG-13 - Teens 13 or older'
12431,8.51,b'Uchuu Kyoudai',"[b'Comedy', b'Sci-Fi', b'Slice of Life']",[b'A-1 Pictures'],"b'Sotozaki, Haruo'","b'Ooima, Yoshitoki'",b'Manga',"b'Shimada, Kazuaki'","b'Yoshimori, Makoto'",b'PG-13 - Teens 13 or older'
46095,8.51,"b""Vivy: Fluorite Eye's Song""","[b'Action', b'Sci-Fi', b'Suspense']",[b'Wit Studio'],"b'Oomori, Takahiro'","b'Miura, Kentarou'",b'Original',None,"b'Obata, Takahiro'",b'R - 17+ (violence & profanity)'
205,8.5,b'Samurai Champloo',"[b'Action', b'Adventure', b'Comedy']",[b'Manglobe'],"b'Akitaya, Noriaki'","b'Abe, George'",b'Original',None,"b'Kajiura, Yuki'",b'R - 17+ (violence & profanity)'
31933,8.5,b'JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai',"[b'Action', b'Adventure', b'Comedy', b'Drama', b'Supernatural']",[b'David Production'],"b'Kasai, Kenichi'","b'Isayama, Hajime'",b'Manga',"b'Kajiyama, Youko'","b'Yokoyama, Masaru'",b'R - 17+ (violence & profanity)'
37379,8.49,b'Chihayafuru 3',"[b'Drama', b'Slice of Life', b'Sports']",[b'Madhouse'],"b'Ishizuka, Atsuko'",b'5pb.',b'Manga',"b'Kikuchi, Mika'","b'Kajiura, Yuki'",b'PG-13 - Teens 13 or older'
877,8.49,b'Nana',"[b'Comedy', b'Drama', b'Romance', b'Slice of Life']",[b'Madhouse'],None,b'Nitroplus',b'Manga',"b'Takada, Akira'","b'Shiina, Gou'",b'R+ - Mild Nudity'
25777,8.49,b'Shingeki no Kyojin Season 2',"[b'Action', b'Drama', b'Fantasy', b'Mystery']",[b'Wit Studio'],"b'Kyougoku, Yoshiaki'","b'Shikura, Chiyomaru'",b'Manga',"b'Yamada, Tatsuo'","b'Yoshimori, Makoto'",b'R - 17+ (violence & profanity)'
32182,8.48,b'Mob Psycho 100',"[b'Action', b'Comedy', b'Slice of Life', b'Supernatural']",[b'Bones'],"b'Satou, Masako'","b'Koyama, Chuuya'",b'Web manga',"b'Haneda, Kouji'",b'Audio Highs',b'PG-13 - Teens 13 or older'
20583,8.47,b'Haikyuu!!',"[b'Comedy', b'Drama', b'Sports']",[b'Production I.G'],"b'Fujita, Youichi'","b'Nagatsuki, Tappei'",b'Manga',None,"b'Fujisawa, Yoshiaki'",b'PG-13 - Teens 13 or older'
